name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
君が好き,0.53,0.516,4,-9.868,0,0.0268,0.414,0.000381,0.12,0.653,141.463,audio_features,1HZgvvw5X0WEXuIh8ZocE5,spotify:track:1HZgvvw5X0WEXuIh8ZocE5,https://api.spotify.com/v1/tracks/1HZgvvw5X0WEXuIh8ZocE5,https://api.spotify.com/v1/audio-analysis/1HZgvvw5X0WEXuIh8ZocE5,182428,4
秋田草刈唄(秋田県民謡),0.53,0.326,7,-10.346,0,0.0319,0.274,0.000104,0.391,0.305,128.925,audio_features,4QDdYRYBDcBUeTgjlSizhn,spotify:track:4QDdYRYBDcBUeTgjlSizhn,https://api.spotify.com/v1/tracks/4QDdYRYBDcBUeTgjlSizhn,https://api.spotify.com/v1/audio-analysis/4QDdYRYBDcBUeTgjlSizhn,254401,3
男について,0.584,0.302,2,-8.442,0,0.0311,0.601,0,0.859,0.26,80.452,audio_features,1lntQik0vhiWT3FI3egeo9,spotify:track:1lntQik0vhiWT3FI3egeo9,https://api.spotify.com/v1/tracks/1lntQik0vhiWT3FI3egeo9,https://api.spotify.com/v1/audio-analysis/1lntQik0vhiWT3FI3egeo9,245708,4
途中,0.526,0.532,4,-7.322,1,0.0321,0.688,0,0.788,0.385,134.872,audio_features,1reZJJEzsQ9zTri2E8FG0w,spotify:track:1reZJJEzsQ9zTri2E8FG0w,https://api.spotify.com/v1/tracks/1reZJJEzsQ9zTri2E8FG0w,https://api.spotify.com/v1/audio-analysis/1reZJJEzsQ9zTri2E8FG0w,145001,4
鳥,0.395,0.485,4,-11.0,0,0.0578,0.81,8.88e-05,0.697,0.314,74.119,audio_features,76Bm4Oo4oAHhPEaDYB8d69,spotify:track:76Bm4Oo4oAHhPEaDYB8d69,https://api.spotify.com/v1/tracks/76Bm4Oo4oAHhPEaDYB8d69,https://api.spotify.com/v1/audio-analysis/76Bm4Oo4oAHhPEaDYB8d69,176001,4
どうやら私は街が好きらしい,0.542,0.601,5,-8.813,1,0.0355,0.26,5.85e-05,0.937,0.19,74.547,audio_features,3IZZuPGioTuQDPymCeFUxz,spotify:track:3IZZuPGioTuQDPymCeFUxz,https://api.spotify.com/v1/tracks/3IZZuPGioTuQDPymCeFUxz,https://api.spotify.com/v1/audio-analysis/3IZZuPGioTuQDPymCeFUxz,245041,4
仙北荷方節(秋田県民謡),0.42,0.314,6,-8.645,0,0.0295,0.81,0,0.886,0.22,164.482,audio_features,260egCSVUWLtsk1SptoKQ5,spotify:track:260egCSVUWLtsk1SptoKQ5,https://api.spotify.com/v1/tracks/260egCSVUWLtsk1SptoKQ5,https://api.spotify.com/v1/audio-analysis/260egCSVUWLtsk1SptoKQ5,113641,4
ナンセンス・ソング・メドレー,0.528,0.701,9,-10.888,0,0.399,0.833,0,0.393,0.216,67.448,audio_features,41tKUAVZKeQ96auEmD0N05,spotify:track:41tKUAVZKeQ96auEmD0N05,https://api.spotify.com/v1/tracks/41tKUAVZKeQ96auEmD0N05,https://api.spotify.com/v1/audio-analysis/41tKUAVZKeQ96auEmD0N05,115374,4
たまねぎ,0.42,0.349,0,-10.656,1,0.0306,0.723,0.000473,0.78,0.567,156.707,audio_features,2QvPRGz2nzBZapTpUrEECZ,spotify:track:2QvPRGz2nzBZapTpUrEECZ,https://api.spotify.com/v1/tracks/2QvPRGz2nzBZapTpUrEECZ,https://api.spotify.com/v1/audio-analysis/2QvPRGz2nzBZapTpUrEECZ,192242,4
死んだ太陽,0.419,0.522,10,-10.157,1,0.0861,0.0269,0,0.401,0.509,134.966,audio_features,3B43ClKPHw1DX2V3xhDWGT,spotify:track:3B43ClKPHw1DX2V3xhDWGT,https://api.spotify.com/v1/tracks/3B43ClKPHw1DX2V3xhDWGT,https://api.spotify.com/v1/audio-analysis/3B43ClKPHw1DX2V3xhDWGT,193054,4
