name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
完全性コンプレックス,0.521,0.57,4,-7.914,1,0.0316,0.927,0.0101,0.113,0.228,100.014,audio_features,7vSZ9m0UgIAszRHizd7V61,spotify:track:7vSZ9m0UgIAszRHizd7V61,https://api.spotify.com/v1/tracks/7vSZ9m0UgIAszRHizd7V61,https://api.spotify.com/v1/audio-analysis/7vSZ9m0UgIAszRHizd7V61,235136,4
完全性コンプレックス-初音ミク「マジカルミライ 2020」Live- (feat. 巡音ルカ),0.531,0.489,4,-14.741,1,0.0267,0.0906,0,0.55,0.198,99.99,audio_features,36oPjdYtuPIPpz71RNwsej,spotify:track:36oPjdYtuPIPpz71RNwsej,https://api.spotify.com/v1/tracks/36oPjdYtuPIPpz71RNwsej,https://api.spotify.com/v1/audio-analysis/36oPjdYtuPIPpz71RNwsej,249885,4
タロ -やみくろver.-,0.554,0.366,0,-6.364,1,0.0293,0.842,0,0.148,0.534,124.98,audio_features,2pVLAKykgnsUe5dBZ1B25h,spotify:track:2pVLAKykgnsUe5dBZ1B25h,https://api.spotify.com/v1/tracks/2pVLAKykgnsUe5dBZ1B25h,https://api.spotify.com/v1/audio-analysis/2pVLAKykgnsUe5dBZ1B25h,304307,4
さよならにうってつけの日 (feat. 巡音ルカ),0.661,0.626,7,-12.102,1,0.0564,0.798,4.7e-06,0.3,0.456,189.964,audio_features,3WxvYUFtTXe2guTNPe3jek,spotify:track:3WxvYUFtTXe2guTNPe3jek,https://api.spotify.com/v1/tracks/3WxvYUFtTXe2guTNPe3jek,https://api.spotify.com/v1/audio-analysis/3WxvYUFtTXe2guTNPe3jek,288000,4
ビー玉,0.786,0.823,9,-6.669,1,0.0365,0.776,6.21e-06,0.202,0.871,159.993,audio_features,1k9PSVntODgVBPZXJQfkT3,spotify:track:1k9PSVntODgVBPZXJQfkT3,https://api.spotify.com/v1/tracks/1k9PSVntODgVBPZXJQfkT3,https://api.spotify.com/v1/audio-analysis/1k9PSVntODgVBPZXJQfkT3,247500,4
for life,0.801,0.748,7,-7.179,1,0.0449,0.28,0.000158,0.134,0.55,104.993,audio_features,11v5NpJ1Ccj5RNRpAbFA4G,spotify:track:11v5NpJ1Ccj5RNRpAbFA4G,https://api.spotify.com/v1/tracks/11v5NpJ1Ccj5RNRpAbFA4G,https://api.spotify.com/v1/audio-analysis/11v5NpJ1Ccj5RNRpAbFA4G,288000,4
2mmの光,0.599,0.445,0,-6.819,1,0.0325,0.841,0,0.0963,0.201,79.95,audio_features,2oCHY9dGDfBEnEIcsaVFCk,spotify:track:2oCHY9dGDfBEnEIcsaVFCk,https://api.spotify.com/v1/tracks/2oCHY9dGDfBEnEIcsaVFCk,https://api.spotify.com/v1/audio-analysis/2oCHY9dGDfBEnEIcsaVFCk,285000,4
デイジー,0.792,0.558,7,-5.295,1,0.0317,0.788,1.06e-06,0.139,0.826,94.984,audio_features,5LVNZzGdxpl9T7vwLWUQcS,spotify:track:5LVNZzGdxpl9T7vwLWUQcS,https://api.spotify.com/v1/tracks/5LVNZzGdxpl9T7vwLWUQcS,https://api.spotify.com/v1/audio-analysis/5LVNZzGdxpl9T7vwLWUQcS,161684,4
学校の亡霊,0.681,0.524,7,-6.575,1,0.0447,0.74,0,0.14,0.428,180.065,audio_features,5E5FMaLXr1iVDzSBb4T8vK,spotify:track:5E5FMaLXr1iVDzSBb4T8vK,https://api.spotify.com/v1/tracks/5E5FMaLXr1iVDzSBb4T8vK,https://api.spotify.com/v1/audio-analysis/5E5FMaLXr1iVDzSBb4T8vK,253333,4
駄目人間,0.855,0.406,9,-8.296,1,0.0383,0.89,0.00302,0.256,0.593,104.976,audio_features,1VwgoMvUklujLoADBLbNQj,spotify:track:1VwgoMvUklujLoADBLbNQj,https://api.spotify.com/v1/tracks/1VwgoMvUklujLoADBLbNQj,https://api.spotify.com/v1/audio-analysis/1VwgoMvUklujLoADBLbNQj,211493,4
君に見せたい景色があった。,0.644,0.607,0,-3.838,1,0.0337,0.632,0,0.198,0.435,100.009,audio_features,2x40x2888hprQ18odZ6e0p,spotify:track:2x40x2888hprQ18odZ6e0p,https://api.spotify.com/v1/tracks/2x40x2888hprQ18odZ6e0p,https://api.spotify.com/v1/audio-analysis/2x40x2888hprQ18odZ6e0p,251000,4
心の在処,0.594,0.337,0,-8.927,1,0.0259,0.67,2.72e-05,0.375,0.259,149.991,audio_features,4EV3PY8XB0pk5SMWzbJ6OH,spotify:track:4EV3PY8XB0pk5SMWzbJ6OH,https://api.spotify.com/v1/tracks/4EV3PY8XB0pk5SMWzbJ6OH,https://api.spotify.com/v1/audio-analysis/4EV3PY8XB0pk5SMWzbJ6OH,260867,4
