name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
My Name Is,0.83,0.59,10,-7.341,0,0.253,0.0701,7.89e-05,0.176,0.733,175.929,audio_features,0xHoIeNWmOygDCg4EUgbQ9,spotify:track:0xHoIeNWmOygDCg4EUgbQ9,https://api.spotify.com/v1/tracks/0xHoIeNWmOygDCg4EUgbQ9,https://api.spotify.com/v1/audio-analysis/0xHoIeNWmOygDCg4EUgbQ9,163807,4
破損したファイル10011111,0.711,0.805,9,-3.721,1,0.0863,0.791,1.97e-05,0.402,0.802,92.02,audio_features,53wea5c6AgIV198pIRxbYi,spotify:track:53wea5c6AgIV198pIRxbYi,https://api.spotify.com/v1/tracks/53wea5c6AgIV198pIRxbYi,https://api.spotify.com/v1/audio-analysis/53wea5c6AgIV198pIRxbYi,161143,4
Cyber Kawaii Kunai Girl,0.627,0.916,0,-2.448,1,0.0389,0.362,1.58e-06,0.575,0.478,115.028,audio_features,6idjo0fNM4cfMrLie2bQdI,spotify:track:6idjo0fNM4cfMrLie2bQdI,https://api.spotify.com/v1/tracks/6idjo0fNM4cfMrLie2bQdI,https://api.spotify.com/v1/audio-analysis/6idjo0fNM4cfMrLie2bQdI,158603,4
misery ai,0.623,0.58,2,-6.64,1,0.0923,0.401,3.23e-06,0.167,0.844,173.977,audio_features,33nJRJmqqt4HTKXhDzPn9i,spotify:track:33nJRJmqqt4HTKXhDzPn9i,https://api.spotify.com/v1/tracks/33nJRJmqqt4HTKXhDzPn9i,https://api.spotify.com/v1/audio-analysis/33nJRJmqqt4HTKXhDzPn9i,176552,4
Oekaki Jumoner,0.859,0.624,6,-6.695,1,0.0671,0.547,0,0.065,0.486,105.008,audio_features,4Hr1drSWVDIvDbcNJRpwU8,spotify:track:4Hr1drSWVDIvDbcNJRpwU8,https://api.spotify.com/v1/tracks/4Hr1drSWVDIvDbcNJRpwU8,https://api.spotify.com/v1/audio-analysis/4Hr1drSWVDIvDbcNJRpwU8,131429,4
syukuhuku,0.72,0.917,8,-2.815,1,0.114,0.316,0.107,0.469,0.442,100.003,audio_features,21of8oAnsNhFi7eHv8RGxg,spotify:track:21of8oAnsNhFi7eHv8RGxg,https://api.spotify.com/v1/tracks/21of8oAnsNhFi7eHv8RGxg,https://api.spotify.com/v1/audio-analysis/21of8oAnsNhFi7eHv8RGxg,118172,4
破損したファイル10100110,0.466,0.898,11,-2.027,1,0.0452,0.446,0.000281,0.619,0.375,124.402,audio_features,1puAaNgk0JJ6EnCBsE8arl,spotify:track:1puAaNgk0JJ6EnCBsE8arl,https://api.spotify.com/v1/tracks/1puAaNgk0JJ6EnCBsE8arl,https://api.spotify.com/v1/audio-analysis/1puAaNgk0JJ6EnCBsE8arl,146549,4
破損したファイル10010001,0.845,0.726,8,-5.543,1,0.242,0.752,0.000131,0.079,0.794,95.267,audio_features,6UJJYLzjEutidbfFNo1EDO,spotify:track:6UJJYLzjEutidbfFNo1EDO,https://api.spotify.com/v1/tracks/6UJJYLzjEutidbfFNo1EDO,https://api.spotify.com/v1/audio-analysis/6UJJYLzjEutidbfFNo1EDO,182143,4
Ikimono Beginner,0.59,0.945,1,-2.423,0,0.137,0.624,9.51e-06,0.218,0.792,87.035,audio_features,6nAnhtbBK7GmoTepMYQRZG,spotify:track:6nAnhtbBK7GmoTepMYQRZG,https://api.spotify.com/v1/tracks/6nAnhtbBK7GmoTepMYQRZG,https://api.spotify.com/v1/audio-analysis/6nAnhtbBK7GmoTepMYQRZG,180000,4
SPECIES,0.652,0.97,5,-0.626,0,0.0953,0.802,0.000567,0.122,0.774,95.026,audio_features,1nWl9CjiLiaAlwqYDbuUWu,spotify:track:1nWl9CjiLiaAlwqYDbuUWu,https://api.spotify.com/v1/tracks/1nWl9CjiLiaAlwqYDbuUWu,https://api.spotify.com/v1/audio-analysis/1nWl9CjiLiaAlwqYDbuUWu,99184,4
The Law of the Universe: A Record of the Great Synthetic Speech Schism,0.569,0.905,6,-2.426,1,0.0466,0.844,0.968,0.455,0.666,139.005,audio_features,54ZV4VyueaWl6GjIUGcPPt,spotify:track:54ZV4VyueaWl6GjIUGcPPt,https://api.spotify.com/v1/tracks/54ZV4VyueaWl6GjIUGcPPt,https://api.spotify.com/v1/audio-analysis/54ZV4VyueaWl6GjIUGcPPt,110514,4
