name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Mirror,0.517,0.916,6,-3.831,0,0.0684,0.000929,0,0.208,0.471,127.03,audio_features,5a3Q6vyaCNMtpQ5a1wnofp,spotify:track:5a3Q6vyaCNMtpQ5a1wnofp,https://api.spotify.com/v1/tracks/5a3Q6vyaCNMtpQ5a1wnofp,https://api.spotify.com/v1/audio-analysis/5a3Q6vyaCNMtpQ5a1wnofp,236587,4
Brand New Day,0.669,0.759,4,-3.897,1,0.0666,0.151,0,0.362,0.68,120.024,audio_features,5DHodhUXJJBNySODQCzcOv,spotify:track:5DHodhUXJJBNySODQCzcOv,https://api.spotify.com/v1/tracks/5DHodhUXJJBNySODQCzcOv,https://api.spotify.com/v1/audio-analysis/5DHodhUXJJBNySODQCzcOv,278373,4
パスコード4854,0.514,0.922,5,-4.821,1,0.0626,0.00677,0,0.126,0.703,139.975,audio_features,2KYQfTGU9fRPqQjHqMVSN3,spotify:track:2KYQfTGU9fRPqQjHqMVSN3,https://api.spotify.com/v1/tracks/2KYQfTGU9fRPqQjHqMVSN3,https://api.spotify.com/v1/audio-analysis/2KYQfTGU9fRPqQjHqMVSN3,221613,4
風の中,0.503,0.935,0,-3.94,1,0.054,0.00418,0,0.271,0.367,86.486,audio_features,5sP17r2ILuTv2ih5fnLGjx,spotify:track:5sP17r2ILuTv2ih5fnLGjx,https://api.spotify.com/v1/tracks/5sP17r2ILuTv2ih5fnLGjx,https://api.spotify.com/v1/audio-analysis/5sP17r2ILuTv2ih5fnLGjx,203000,4
through the dark,0.564,0.721,0,-4.041,1,0.0343,0.219,0,0.138,0.396,100.964,audio_features,0uMd4X8y6FyCjgQpONwoVa,spotify:track:0uMd4X8y6FyCjgQpONwoVa,https://api.spotify.com/v1/tracks/0uMd4X8y6FyCjgQpONwoVa,https://api.spotify.com/v1/audio-analysis/0uMd4X8y6FyCjgQpONwoVa,226173,4
きみのうた,0.479,0.682,9,-4.109,1,0.0385,0.11,0,0.1,0.294,76.049,audio_features,7z6Iw2caEROGEpo2mGtc79,spotify:track:7z6Iw2caEROGEpo2mGtc79,https://api.spotify.com/v1/tracks/7z6Iw2caEROGEpo2mGtc79,https://api.spotify.com/v1/audio-analysis/7z6Iw2caEROGEpo2mGtc79,370387,4
Best of my Love,0.612,0.897,1,-2.823,1,0.0353,0.16,0,0.153,0.684,119.981,audio_features,1q9CwY8w7SKWkMMTuY6GOF,spotify:track:1q9CwY8w7SKWkMMTuY6GOF,https://api.spotify.com/v1/tracks/1q9CwY8w7SKWkMMTuY6GOF,https://api.spotify.com/v1/audio-analysis/1q9CwY8w7SKWkMMTuY6GOF,344160,4
Not the End,0.376,0.75,7,-4.129,1,0.0421,0.000592,0.000105,0.309,0.248,165.694,audio_features,0MgwgQKH0xFUxwQdRUaSe1,spotify:track:0MgwgQKH0xFUxwQdRUaSe1,https://api.spotify.com/v1/tracks/0MgwgQKH0xFUxwQdRUaSe1,https://api.spotify.com/v1/audio-analysis/0MgwgQKH0xFUxwQdRUaSe1,343320,4
Mirror acoustic ver,0.563,0.614,6,-5.281,0,0.0323,0.211,0,0.274,0.503,126.937,audio_features,222yw7hdUYBO1zfRbxzi25,spotify:track:222yw7hdUYBO1zfRbxzi25,https://api.spotify.com/v1/tracks/222yw7hdUYBO1zfRbxzi25,https://api.spotify.com/v1/audio-analysis/222yw7hdUYBO1zfRbxzi25,228560,4
アシンメトリー,0.652,0.885,1,-3.248,0,0.0336,0.0363,0,0.136,0.532,127.994,audio_features,6cQpSFY3pUcGeiqcafWCV7,spotify:track:6cQpSFY3pUcGeiqcafWCV7,https://api.spotify.com/v1/tracks/6cQpSFY3pUcGeiqcafWCV7,https://api.spotify.com/v1/audio-analysis/6cQpSFY3pUcGeiqcafWCV7,290307,4
