name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
close to you - demo,0.582,0.0404,7,-21.217,1,0.233,0.812,0,0.226,0.0937,115.833,audio_features,4dwt8jA2H5WcSC14Bo9wCi,spotify:track:4dwt8jA2H5WcSC14Bo9wCi,https://api.spotify.com/v1/tracks/4dwt8jA2H5WcSC14Bo9wCi,https://api.spotify.com/v1/audio-analysis/4dwt8jA2H5WcSC14Bo9wCi,140495,5
"tokyo (feat. 鈴木真海子, Skaai)",0.546,0.285,10,-9.593,1,0.344,0.864,0,0.173,0.657,62.674,audio_features,3tL2fCJDegsWrsCZEZTf82,spotify:track:3tL2fCJDegsWrsCZEZTf82,https://api.spotify.com/v1/tracks/3tL2fCJDegsWrsCZEZTf82,https://api.spotify.com/v1/audio-analysis/3tL2fCJDegsWrsCZEZTf82,303157,4
Lonely,0.741,0.592,0,-6.228,1,0.0295,0.406,3.64e-05,0.174,0.703,99.006,audio_features,0TmhYlyTkhaHWNwyAyXSBK,spotify:track:0TmhYlyTkhaHWNwyAyXSBK,https://api.spotify.com/v1/tracks/0TmhYlyTkhaHWNwyAyXSBK,https://api.spotify.com/v1/audio-analysis/0TmhYlyTkhaHWNwyAyXSBK,211743,4
good job,0.799,0.169,1,-16.729,1,0.0639,0.818,0.0471,0.131,0.598,80.968,audio_features,1RuHQZEAYBtAqcWo1saFSc,spotify:track:1RuHQZEAYBtAqcWo1saFSc,https://api.spotify.com/v1/tracks/1RuHQZEAYBtAqcWo1saFSc,https://api.spotify.com/v1/audio-analysis/1RuHQZEAYBtAqcWo1saFSc,210741,4
矜羯羅がる,0.847,0.239,2,-14.488,1,0.0727,0.531,0.00535,0.0736,0.354,76.007,audio_features,3CwlaMpxgsPcLmm9o0Kvur,spotify:track:3CwlaMpxgsPcLmm9o0Kvur,https://api.spotify.com/v1/tracks/3CwlaMpxgsPcLmm9o0Kvur,https://api.spotify.com/v1/audio-analysis/3CwlaMpxgsPcLmm9o0Kvur,225000,4
tonight,0.582,0.584,9,-5.934,1,0.039,0.129,0,0.0946,0.606,176.912,audio_features,2IX5lF2CznPPWuH9cvSElP,spotify:track:2IX5lF2CznPPWuH9cvSElP,https://api.spotify.com/v1/tracks/2IX5lF2CznPPWuH9cvSElP,https://api.spotify.com/v1/audio-analysis/2IX5lF2CznPPWuH9cvSElP,179231,4
Yesterday,0.615,0.552,4,-7.307,0,0.0288,0.388,3.62e-05,0.0684,0.443,89.003,audio_features,1HheOZWLyPbzM0HC446zhb,spotify:track:1HheOZWLyPbzM0HC446zhb,https://api.spotify.com/v1/tracks/1HheOZWLyPbzM0HC446zhb,https://api.spotify.com/v1/audio-analysis/1HheOZWLyPbzM0HC446zhb,252123,4
yugi,0.652,0.367,11,-10.174,1,0.0468,0.771,0.00349,0.0966,0.312,80.003,audio_features,2SgXOT2HryYnbtWL7JfIFy,spotify:track:2SgXOT2HryYnbtWL7JfIFy,https://api.spotify.com/v1/tracks/2SgXOT2HryYnbtWL7JfIFy,https://api.spotify.com/v1/audio-analysis/2SgXOT2HryYnbtWL7JfIFy,201617,4
ダンス,0.811,0.722,2,-6.407,1,0.0876,0.0547,7.05e-05,0.103,0.448,78.024,audio_features,5jMjhJ3Wf0I2XvkYq4Lawn,spotify:track:5jMjhJ3Wf0I2XvkYq4Lawn,https://api.spotify.com/v1/tracks/5jMjhJ3Wf0I2XvkYq4Lawn,https://api.spotify.com/v1/audio-analysis/5jMjhJ3Wf0I2XvkYq4Lawn,217784,4
After Party,0.687,0.537,1,-10.087,0,0.11,0.471,0.00745,0.346,0.449,86.968,audio_features,6ZmTUJTej1ObruiiUsrnrc,spotify:track:6ZmTUJTej1ObruiiUsrnrc,https://api.spotify.com/v1/tracks/6ZmTUJTej1ObruiiUsrnrc,https://api.spotify.com/v1/audio-analysis/6ZmTUJTej1ObruiiUsrnrc,272657,4
rendez-vous,0.572,0.462,6,-12.588,1,0.0841,0.106,0.0479,0.145,0.443,75.125,audio_features,2FxIyDy2kbxGEizRR2JKfB,spotify:track:2FxIyDy2kbxGEizRR2JKfB,https://api.spotify.com/v1/tracks/2FxIyDy2kbxGEizRR2JKfB,https://api.spotify.com/v1/audio-analysis/2FxIyDy2kbxGEizRR2JKfB,204998,4
Yesterday,0.615,0.552,4,-7.307,0,0.0288,0.388,3.62e-05,0.0684,0.443,89.003,audio_features,4QCay9DfgZjRp4LxhwHHxR,spotify:track:4QCay9DfgZjRp4LxhwHHxR,https://api.spotify.com/v1/tracks/4QCay9DfgZjRp4LxhwHHxR,https://api.spotify.com/v1/audio-analysis/4QCay9DfgZjRp4LxhwHHxR,252123,4
hanasanai,0.511,0.291,0,-9.694,1,0.0469,0.767,0.586,0.105,0.308,122.144,audio_features,09SOUxrIDozBuZPHBctCqO,spotify:track:09SOUxrIDozBuZPHBctCqO,https://api.spotify.com/v1/tracks/09SOUxrIDozBuZPHBctCqO,https://api.spotify.com/v1/audio-analysis/09SOUxrIDozBuZPHBctCqO,250677,3
"tokyo (feat. 鈴木真海子, Skaai)",0.693,0.293,10,-9.015,1,0.316,0.848,0,0.636,0.644,65.588,audio_features,2TFr6nlRKUiIL3cYlhZzmx,spotify:track:2TFr6nlRKUiIL3cYlhZzmx,https://api.spotify.com/v1/tracks/2TFr6nlRKUiIL3cYlhZzmx,https://api.spotify.com/v1/audio-analysis/2TFr6nlRKUiIL3cYlhZzmx,299463,4
天神,0.664,0.432,5,-13.446,1,0.131,0.654,1.43e-05,0.13,0.426,158.009,audio_features,2Rw4ihX4OqoRX2Ee63ol1g,spotify:track:2Rw4ihX4OqoRX2Ee63ol1g,https://api.spotify.com/v1/tracks/2Rw4ihX4OqoRX2Ee63ol1g,https://api.spotify.com/v1/audio-analysis/2Rw4ihX4OqoRX2Ee63ol1g,230965,4
