name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ON YOUR SIDE,0.68,0.803,5,-8.204,0,0.04,0.0172,2.07e-05,0.273,0.841,115.0,audio_features,7giVXRbIQnGrUt4iypBakq,spotify:track:7giVXRbIQnGrUt4iypBakq,https://api.spotify.com/v1/tracks/7giVXRbIQnGrUt4iypBakq,https://api.spotify.com/v1/audio-analysis/7giVXRbIQnGrUt4iypBakq,232853,4
LOVE GEAR,0.622,0.81,1,-6.986,0,0.0343,0.0248,0,0.0587,0.704,94.987,audio_features,6XuY87E4GQGtgidRAeO5pv,spotify:track:6XuY87E4GQGtgidRAeO5pv,https://api.spotify.com/v1/tracks/6XuY87E4GQGtgidRAeO5pv,https://api.spotify.com/v1/audio-analysis/6XuY87E4GQGtgidRAeO5pv,273480,4
BRIGHT LIGHT,0.552,0.571,3,-8.826,1,0.0482,0.00127,5e-05,0.117,0.264,175.978,audio_features,4MPxNpHsVyXnQBNUovvfBU,spotify:track:4MPxNpHsVyXnQBNUovvfBU,https://api.spotify.com/v1/tracks/4MPxNpHsVyXnQBNUovvfBU,https://api.spotify.com/v1/audio-analysis/4MPxNpHsVyXnQBNUovvfBU,305320,4
ALL I WANT IS YOU,0.677,0.688,2,-8.53,1,0.0304,0.0119,0.00019,0.128,0.573,120.027,audio_features,4JVFyNYxWDhIatlMlrTSuq,spotify:track:4JVFyNYxWDhIatlMlrTSuq,https://api.spotify.com/v1/tracks/4JVFyNYxWDhIatlMlrTSuq,https://api.spotify.com/v1/audio-analysis/4JVFyNYxWDhIatlMlrTSuq,342307,4
恋人よ,0.646,0.132,4,-13.083,0,0.067,0.977,0,0.0882,0.321,127.849,audio_features,1VBhm1o1U5xWbI6enmyhwb,spotify:track:1VBhm1o1U5xWbI6enmyhwb,https://api.spotify.com/v1/tracks/1VBhm1o1U5xWbI6enmyhwb,https://api.spotify.com/v1/audio-analysis/1VBhm1o1U5xWbI6enmyhwb,268573,4
365 LIFE,0.656,0.653,11,-9.093,1,0.0356,0.131,8.08e-06,0.11,0.921,119.965,audio_features,11emmROW90JbdrTIjuH9Ib,spotify:track:11emmROW90JbdrTIjuH9Ib,https://api.spotify.com/v1/tracks/11emmROW90JbdrTIjuH9Ib,https://api.spotify.com/v1/audio-analysis/11emmROW90JbdrTIjuH9Ib,343480,4
君は僕の大切,0.697,0.524,7,-10.092,1,0.0314,0.325,1.28e-05,0.127,0.45,105.013,audio_features,6Jly7zD7vRzHuis3ngYQQ7,spotify:track:6Jly7zD7vRzHuis3ngYQQ7,https://api.spotify.com/v1/tracks/6Jly7zD7vRzHuis3ngYQQ7,https://api.spotify.com/v1/audio-analysis/6Jly7zD7vRzHuis3ngYQQ7,255827,4
SMILE AGAIN,0.67,0.815,2,-6.641,1,0.0363,0.0293,0.00107,0.341,0.692,125.048,audio_features,6U1l32KtmDhPjysxcqXE8H,spotify:track:6U1l32KtmDhPjysxcqXE8H,https://api.spotify.com/v1/tracks/6U1l32KtmDhPjysxcqXE8H,https://api.spotify.com/v1/audio-analysis/6U1l32KtmDhPjysxcqXE8H,362227,4
三日月,0.697,0.495,8,-10.1,1,0.0245,0.126,0.00456,0.164,0.499,95.027,audio_features,0ilsr4DAlrt4jv4oOc9qzR,spotify:track:0ilsr4DAlrt4jv4oOc9qzR,https://api.spotify.com/v1/tracks/0ilsr4DAlrt4jv4oOc9qzR,https://api.spotify.com/v1/audio-analysis/0ilsr4DAlrt4jv4oOc9qzR,377373,4
unconditional,0.711,0.557,7,-11.508,0,0.0309,0.31,0.000893,0.108,0.585,97.986,audio_features,6lCB1DWN2DJzwnUZm5eh6s,spotify:track:6lCB1DWN2DJzwnUZm5eh6s,https://api.spotify.com/v1/tracks/6lCB1DWN2DJzwnUZm5eh6s,https://api.spotify.com/v1/audio-analysis/6lCB1DWN2DJzwnUZm5eh6s,355560,4
光芒,0.349,0.411,5,-8.991,1,0.0389,0.315,5.79e-06,0.151,0.234,71.483,audio_features,1DkvNP3Xmo8imdWsYAyMW9,spotify:track:1DkvNP3Xmo8imdWsYAyMW9,https://api.spotify.com/v1/tracks/1DkvNP3Xmo8imdWsYAyMW9,https://api.spotify.com/v1/audio-analysis/1DkvNP3Xmo8imdWsYAyMW9,279667,3
THUMBS UP,0.69,0.798,8,-7.812,1,0.0274,0.02,0,0.222,0.708,104.992,audio_features,0IsOIBJ3UQspN8YfbCCsUq,spotify:track:0IsOIBJ3UQspN8YfbCCsUq,https://api.spotify.com/v1/tracks/0IsOIBJ3UQspN8YfbCCsUq,https://api.spotify.com/v1/audio-analysis/0IsOIBJ3UQspN8YfbCCsUq,254293,4
CICADA,0.636,0.39,2,-10.289,1,0.0276,0.357,1.31e-06,0.172,0.201,80.009,audio_features,3mOmjGNNQEVhbIkXZWcpnZ,spotify:track:3mOmjGNNQEVhbIkXZWcpnZ,https://api.spotify.com/v1/tracks/3mOmjGNNQEVhbIkXZWcpnZ,https://api.spotify.com/v1/audio-analysis/3mOmjGNNQEVhbIkXZWcpnZ,318147,4
ボクノキミ、キミノボク,0.434,0.513,3,-8.493,0,0.0419,0.25,0,0.127,0.446,71.09,audio_features,3327yUAsi4v0wKPMlipIdi,spotify:track:3327yUAsi4v0wKPMlipIdi,https://api.spotify.com/v1/tracks/3327yUAsi4v0wKPMlipIdi,https://api.spotify.com/v1/audio-analysis/3327yUAsi4v0wKPMlipIdi,295693,4
SOCIAL NETWORK SERVICE,0.667,0.621,3,-9.635,0,0.0374,0.0133,5.2e-06,0.114,0.854,108.001,audio_features,7Hb8lafxG0ZSfZQa9RYTHC,spotify:track:7Hb8lafxG0ZSfZQa9RYTHC,https://api.spotify.com/v1/tracks/7Hb8lafxG0ZSfZQa9RYTHC,https://api.spotify.com/v1/audio-analysis/7Hb8lafxG0ZSfZQa9RYTHC,289080,4
CHANCE,0.717,0.706,1,-8.991,1,0.0381,0.182,3.99e-06,0.0567,0.836,119.992,audio_features,5SRM37KbJOWg7OngojiIHW,spotify:track:5SRM37KbJOWg7OngojiIHW,https://api.spotify.com/v1/tracks/5SRM37KbJOWg7OngojiIHW,https://api.spotify.com/v1/audio-analysis/5SRM37KbJOWg7OngojiIHW,271667,4
CASABLANCA,0.512,0.711,7,-8.251,0,0.0468,0.00592,0,0.0694,0.614,94.372,audio_features,5j5aIrMoQARJ7a9xWGZH9Y,spotify:track:5j5aIrMoQARJ7a9xWGZH9Y,https://api.spotify.com/v1/tracks/5j5aIrMoQARJ7a9xWGZH9Y,https://api.spotify.com/v1/audio-analysis/5j5aIrMoQARJ7a9xWGZH9Y,221387,4
ひと、ひとり,0.558,0.38,9,-8.437,1,0.0269,0.0247,0,0.134,0.202,97.958,audio_features,1WsmyXfCetfmCKoh347eMc,spotify:track:1WsmyXfCetfmCKoh347eMc,https://api.spotify.com/v1/tracks/1WsmyXfCetfmCKoh347eMc,https://api.spotify.com/v1/audio-analysis/1WsmyXfCetfmCKoh347eMc,268173,3
HIPSTER,0.729,0.543,7,-9.7,0,0.0396,0.053,6.2e-05,0.131,0.734,119.967,audio_features,0ixj4P6tU1I8EAwOj5V5zJ,spotify:track:0ixj4P6tU1I8EAwOj5V5zJ,https://api.spotify.com/v1/tracks/0ixj4P6tU1I8EAwOj5V5zJ,https://api.spotify.com/v1/audio-analysis/0ixj4P6tU1I8EAwOj5V5zJ,272387,4
それが人というものだから,0.594,0.546,3,-9.815,1,0.044,0.271,0.000105,0.128,0.484,79.977,audio_features,4vMpHB5lSWSdHjefEXvm2T,spotify:track:4vMpHB5lSWSdHjefEXvm2T,https://api.spotify.com/v1/tracks/4vMpHB5lSWSdHjefEXvm2T,https://api.spotify.com/v1/audio-analysis/4vMpHB5lSWSdHjefEXvm2T,242600,4
words,0.697,0.459,10,-10.473,1,0.0559,0.239,0,0.35,0.711,88.013,audio_features,06PZlPKjmtnW9ICg9M7gdr,spotify:track:06PZlPKjmtnW9ICg9M7gdr,https://api.spotify.com/v1/tracks/06PZlPKjmtnW9ICg9M7gdr,https://api.spotify.com/v1/audio-analysis/06PZlPKjmtnW9ICg9M7gdr,289893,4
消しゴム,0.614,0.41,5,-10.164,1,0.0329,0.0646,0.00458,0.0914,0.205,170.039,audio_features,0mMS55EBWEr2YcEcnvAv5s,spotify:track:0mMS55EBWEr2YcEcnvAv5s,https://api.spotify.com/v1/tracks/0mMS55EBWEr2YcEcnvAv5s,https://api.spotify.com/v1/audio-analysis/0mMS55EBWEr2YcEcnvAv5s,326480,4
瑠璃色の地球,0.754,0.304,2,-10.91,1,0.0326,0.358,0.00253,0.041,0.251,81.994,audio_features,3CwyfXE6zqImHdignrLGTK,spotify:track:3CwyfXE6zqImHdignrLGTK,https://api.spotify.com/v1/tracks/3CwyfXE6zqImHdignrLGTK,https://api.spotify.com/v1/audio-analysis/3CwyfXE6zqImHdignrLGTK,282773,4
大人の階段,0.657,0.487,7,-9.214,1,0.0242,0.411,0,0.107,0.477,91.987,audio_features,2tnoaDgEaFzrl1xfOyjEIG,spotify:track:2tnoaDgEaFzrl1xfOyjEIG,https://api.spotify.com/v1/tracks/2tnoaDgEaFzrl1xfOyjEIG,https://api.spotify.com/v1/audio-analysis/2tnoaDgEaFzrl1xfOyjEIG,237053,4
DANCE UP,0.801,0.831,0,-9.361,0,0.0607,0.0313,0.000187,0.195,0.816,117.98,audio_features,4Wj8qwM0Aeb6A8dfZVPZKH,spotify:track:4Wj8qwM0Aeb6A8dfZVPZKH,https://api.spotify.com/v1/tracks/4Wj8qwM0Aeb6A8dfZVPZKH,https://api.spotify.com/v1/audio-analysis/4Wj8qwM0Aeb6A8dfZVPZKH,292133,4
what did you do last night?,0.717,0.641,4,-7.098,0,0.0262,0.129,0,0.0861,0.79,107.979,audio_features,5Y95DyzeyZ1OqEBYXyOYtt,spotify:track:5Y95DyzeyZ1OqEBYXyOYtt,https://api.spotify.com/v1/tracks/5Y95DyzeyZ1OqEBYXyOYtt,https://api.spotify.com/v1/audio-analysis/5Y95DyzeyZ1OqEBYXyOYtt,264333,4
ぬくもり、やさしさ,0.644,0.525,0,-8.831,1,0.0242,0.094,3.85e-06,0.0893,0.441,98.004,audio_features,6HgZ3ERbqsw3bWhGzD0zh3,spotify:track:6HgZ3ERbqsw3bWhGzD0zh3,https://api.spotify.com/v1/tracks/6HgZ3ERbqsw3bWhGzD0zh3,https://api.spotify.com/v1/audio-analysis/6HgZ3ERbqsw3bWhGzD0zh3,315160,4
大切な日々,0.49,0.484,10,-9.692,1,0.0289,0.394,1.28e-06,0.119,0.154,135.819,audio_features,6eYZddKEzQNkaLmxberlAh,spotify:track:6eYZddKEzQNkaLmxberlAh,https://api.spotify.com/v1/tracks/6eYZddKEzQNkaLmxberlAh,https://api.spotify.com/v1/audio-analysis/6eYZddKEzQNkaLmxberlAh,307067,4
NEVER ENOUGH,0.541,0.534,4,-8.125,0,0.0309,0.000877,3.11e-05,0.151,0.559,88.063,audio_features,5t3P8V3ShWVC7zRrlThj6w,spotify:track:5t3P8V3ShWVC7zRrlThj6w,https://api.spotify.com/v1/tracks/5t3P8V3ShWVC7zRrlThj6w,https://api.spotify.com/v1/audio-analysis/5t3P8V3ShWVC7zRrlThj6w,335693,4
SAVE THE DANCE,0.491,0.388,4,-9.668,1,0.0273,0.334,1.91e-06,0.263,0.311,159.718,audio_features,4dQuWDmUeK75W8EgVqu6Qf,spotify:track:4dQuWDmUeK75W8EgVqu6Qf,https://api.spotify.com/v1/tracks/4dQuWDmUeK75W8EgVqu6Qf,https://api.spotify.com/v1/audio-analysis/4dQuWDmUeK75W8EgVqu6Qf,329373,4
紙,0.418,0.453,8,-8.871,1,0.0824,0.356,0,0.323,0.378,80.907,audio_features,65EB3RO7043gCl2miK9Nu3,spotify:track:65EB3RO7043gCl2miK9Nu3,https://api.spotify.com/v1/tracks/65EB3RO7043gCl2miK9Nu3,https://api.spotify.com/v1/audio-analysis/65EB3RO7043gCl2miK9Nu3,265400,4
カサブランカ・ダンディ,0.833,0.463,11,-8.93,1,0.0514,0.251,0,0.1,0.722,104.972,audio_features,0WUkhoGRrsDmp4tdT5NzLo,spotify:track:0WUkhoGRrsDmp4tdT5NzLo,https://api.spotify.com/v1/tracks/0WUkhoGRrsDmp4tdT5NzLo,https://api.spotify.com/v1/audio-analysis/0WUkhoGRrsDmp4tdT5NzLo,249307,4
キーホルダー,0.628,0.81,7,-7.444,1,0.0476,0.00374,8.23e-05,0.0778,0.841,98.107,audio_features,6hgcGzPxhlH6KcblKK1Uht,spotify:track:6hgcGzPxhlH6KcblKK1Uht,https://api.spotify.com/v1/tracks/6hgcGzPxhlH6KcblKK1Uht,https://api.spotify.com/v1/audio-analysis/6hgcGzPxhlH6KcblKK1Uht,284827,4
僕と君の関係,0.727,0.751,7,-7.306,0,0.0298,0.00771,0.00118,0.0324,0.694,125.007,audio_features,2pxSzI017CjCAgPZpIpc1U,spotify:track:2pxSzI017CjCAgPZpIpc1U,https://api.spotify.com/v1/tracks/2pxSzI017CjCAgPZpIpc1U,https://api.spotify.com/v1/audio-analysis/2pxSzI017CjCAgPZpIpc1U,248200,4
"GOODBYE, MY LOVE",0.548,0.531,0,-8.063,1,0.0294,0.307,6.57e-06,0.13,0.317,71.989,audio_features,24x8ksPFMjnh5ZCwHavejM,spotify:track:24x8ksPFMjnh5ZCwHavejM,https://api.spotify.com/v1/tracks/24x8ksPFMjnh5ZCwHavejM,https://api.spotify.com/v1/audio-analysis/24x8ksPFMjnh5ZCwHavejM,381147,4
LOVE HEALS,0.447,0.271,8,-12.403,1,0.0339,0.802,0.00016,0.108,0.195,179.786,audio_features,5J4frQn0qfdUOaifjEVuY8,spotify:track:5J4frQn0qfdUOaifjEVuY8,https://api.spotify.com/v1/tracks/5J4frQn0qfdUOaifjEVuY8,https://api.spotify.com/v1/audio-analysis/5J4frQn0qfdUOaifjEVuY8,283747,4
好きで、好きで、好きで。,0.672,0.376,7,-9.398,0,0.0792,0.405,3.98e-06,0.153,0.408,71.995,audio_features,5Oei8f2stChTgurxBfrbcH,spotify:track:5Oei8f2stChTgurxBfrbcH,https://api.spotify.com/v1/tracks/5Oei8f2stChTgurxBfrbcH,https://api.spotify.com/v1/audio-analysis/5Oei8f2stChTgurxBfrbcH,315467,3
見上げてごらん夜の星を,0.644,0.179,7,-11.425,1,0.0282,0.769,1.18e-06,0.112,0.13,76.776,audio_features,1bdAf3qLAyXfvB0ReBuAsl,spotify:track:1bdAf3qLAyXfvB0ReBuAsl,https://api.spotify.com/v1/tracks/1bdAf3qLAyXfvB0ReBuAsl,https://api.spotify.com/v1/audio-analysis/1bdAf3qLAyXfvB0ReBuAsl,274000,4
