name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
KICK BACK,0.577,0.941,1,-5.17,1,0.105,0.00207,3.36e-06,0.0891,0.292,101.921,audio_features,3khEEPRyBeOUabbmOPJzAG,spotify:track:3khEEPRyBeOUabbmOPJzAG,https://api.spotify.com/v1/tracks/3khEEPRyBeOUabbmOPJzAG,https://api.spotify.com/v1/audio-analysis/3khEEPRyBeOUabbmOPJzAG,193495,4
Lemon,0.525,0.646,11,-4.963,1,0.0268,0.304,0,0.297,0.373,86.957,audio_features,04TshWXkhV1qkqHzf31Hn6,spotify:track:04TshWXkhV1qkqHzf31Hn6,https://api.spotify.com/v1/tracks/04TshWXkhV1qkqHzf31Hn6,https://api.spotify.com/v1/audio-analysis/04TshWXkhV1qkqHzf31Hn6,255827,4
ピースサイン,0.593,0.935,10,-3.853,0,0.0684,0.00221,0,0.315,0.618,100.003,audio_features,364JzOajs76bJymjHm3sVY,spotify:track:364JzOajs76bJymjHm3sVY,https://api.spotify.com/v1/tracks/364JzOajs76bJymjHm3sVY,https://api.spotify.com/v1/audio-analysis/364JzOajs76bJymjHm3sVY,238533,4
感電,0.633,0.723,8,-5.733,0,0.143,0.107,0,0.0818,0.688,103.101,audio_features,6H0PLsSYMzDOqhLgyOlzIj,spotify:track:6H0PLsSYMzDOqhLgyOlzIj,https://api.spotify.com/v1/tracks/6H0PLsSYMzDOqhLgyOlzIj,https://api.spotify.com/v1/audio-analysis/6H0PLsSYMzDOqhLgyOlzIj,264533,4
死神,0.807,0.653,2,-6.308,1,0.0443,0.0349,9.08e-06,0.111,0.939,119.019,audio_features,3tw4Jysd48kMcKsdnGYLee,spotify:track:3tw4Jysd48kMcKsdnGYLee,https://api.spotify.com/v1/tracks/3tw4Jysd48kMcKsdnGYLee,https://api.spotify.com/v1/audio-analysis/3tw4Jysd48kMcKsdnGYLee,180760,4
アイネクライネ,0.471,0.868,1,-2.291,1,0.0295,0.0384,0,0.297,0.811,173.969,audio_features,45YBVp6zMwQZRbUDcPzmMB,spotify:track:45YBVp6zMwQZRbUDcPzmMB,https://api.spotify.com/v1/tracks/45YBVp6zMwQZRbUDcPzmMB,https://api.spotify.com/v1/audio-analysis/45YBVp6zMwQZRbUDcPzmMB,288013,4
LOSER,0.679,0.931,1,-3.74,0,0.0474,0.00466,0,0.0652,0.962,121.001,audio_features,7AqUE5AY514dbzeOAfJRa0,spotify:track:7AqUE5AY514dbzeOAfJRa0,https://api.spotify.com/v1/tracks/7AqUE5AY514dbzeOAfJRa0,https://api.spotify.com/v1/audio-analysis/7AqUE5AY514dbzeOAfJRa0,243813,4
Lemon,0.532,0.661,11,-4.924,1,0.0268,0.366,0,0.354,0.446,86.983,audio_features,7Cd17G3oNQ34OWUwS8ZxfR,spotify:track:7Cd17G3oNQ34OWUwS8ZxfR,https://api.spotify.com/v1/tracks/7Cd17G3oNQ34OWUwS8ZxfR,https://api.spotify.com/v1/audio-analysis/7Cd17G3oNQ34OWUwS8ZxfR,256107,4
Flamingo,0.76,0.668,7,-6.0,1,0.0546,0.165,0,0.0917,0.913,114.075,audio_features,3ILWwi1JNj3NGuuf6DzYxN,spotify:track:3ILWwi1JNj3NGuuf6DzYxN,https://api.spotify.com/v1/tracks/3ILWwi1JNj3NGuuf6DzYxN,https://api.spotify.com/v1/audio-analysis/3ILWwi1JNj3NGuuf6DzYxN,196387,4
KICK BACK -ANIME edit,0.608,0.899,10,-5.785,0,0.0726,0.000604,7.86e-05,0.0902,0.551,102.081,audio_features,5ktOhXvLj7mdQmAVdEA7OJ,spotify:track:5ktOhXvLj7mdQmAVdEA7OJ,https://api.spotify.com/v1/tracks/5ktOhXvLj7mdQmAVdEA7OJ,https://api.spotify.com/v1/audio-analysis/5ktOhXvLj7mdQmAVdEA7OJ,87373,4
