name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Service Area,0.661,0.732,7,-6.318,1,0.0444,0.362,0,0.356,0.63,98.94,audio_features,0IdA2XZUM6At6c9HTXwcT7,spotify:track:0IdA2XZUM6At6c9HTXwcT7,https://api.spotify.com/v1/tracks/0IdA2XZUM6At6c9HTXwcT7,https://api.spotify.com/v1/audio-analysis/0IdA2XZUM6At6c9HTXwcT7,233787,4
地獄タクシー,0.562,0.609,6,-6.835,0,0.053,0.219,0.000178,0.0886,0.633,102.994,audio_features,6xxG1bCwpKkx0ha1cCP4Uq,spotify:track:6xxG1bCwpKkx0ha1cCP4Uq,https://api.spotify.com/v1/tracks/6xxG1bCwpKkx0ha1cCP4Uq,https://api.spotify.com/v1/audio-analysis/6xxG1bCwpKkx0ha1cCP4Uq,232467,4
残ってる,0.654,0.422,7,-5.854,1,0.0251,0.432,0,0.0996,0.187,143.899,audio_features,0Wg0sZobsDoWEpay1mUh2O,spotify:track:0Wg0sZobsDoWEpay1mUh2O,https://api.spotify.com/v1/tracks/0Wg0sZobsDoWEpay1mUh2O,https://api.spotify.com/v1/audio-analysis/0Wg0sZobsDoWEpay1mUh2O,244173,4
えらばれし子供たちの密話,0.67,0.719,3,-7.798,0,0.0732,0.384,0.000311,0.59,0.664,98.944,audio_features,2mBTIqfJNpXTMufLV1npES,spotify:track:2mBTIqfJNpXTMufLV1npES,https://api.spotify.com/v1/tracks/2mBTIqfJNpXTMufLV1npES,https://api.spotify.com/v1/audio-analysis/2mBTIqfJNpXTMufLV1npES,190253,4
ものがたりは今日はじまるの feat.サンボマスター,0.55,0.811,3,-3.601,1,0.0285,0.372,0,0.16,0.816,134.054,audio_features,2MH18LThREyBxvMcyt1Hkb,spotify:track:2MH18LThREyBxvMcyt1Hkb,https://api.spotify.com/v1/tracks/2MH18LThREyBxvMcyt1Hkb,https://api.spotify.com/v1/audio-analysis/2MH18LThREyBxvMcyt1Hkb,263533,4
綺麗,0.61,0.775,8,-5.564,1,0.029,0.0256,0,0.122,0.6,134.978,audio_features,1AfMbGrtlwWYU0tNhWrxQ2,spotify:track:1AfMbGrtlwWYU0tNhWrxQ2,https://api.spotify.com/v1/tracks/1AfMbGrtlwWYU0tNhWrxQ2,https://api.spotify.com/v1/audio-analysis/1AfMbGrtlwWYU0tNhWrxQ2,225840,4
月曜日戦争,0.479,0.833,2,-4.474,1,0.0461,0.0382,0,0.317,0.671,157.987,audio_features,3OBWZJA1TwIs9oTrCbSM60,spotify:track:3OBWZJA1TwIs9oTrCbSM60,https://api.spotify.com/v1/tracks/3OBWZJA1TwIs9oTrCbSM60,https://api.spotify.com/v1/audio-analysis/3OBWZJA1TwIs9oTrCbSM60,176053,4
ゆりかご feat.岡崎体育,0.636,0.877,8,-8.112,1,0.0305,0.048,0.00454,0.107,0.567,113.008,audio_features,77797OPYfZF1j4hfgjg7YZ,spotify:track:77797OPYfZF1j4hfgjg7YZ,https://api.spotify.com/v1/tracks/77797OPYfZF1j4hfgjg7YZ,https://api.spotify.com/v1/audio-analysis/77797OPYfZF1j4hfgjg7YZ,226893,4
Oni,0.812,0.827,2,-3.339,1,0.0337,0.282,0,0.227,0.705,116.021,audio_features,4v0rAHjElGoct56RgJW0ca,spotify:track:4v0rAHjElGoct56RgJW0ca,https://api.spotify.com/v1/tracks/4v0rAHjElGoct56RgJW0ca,https://api.spotify.com/v1/audio-analysis/4v0rAHjElGoct56RgJW0ca,184613,4
らりるれりん,0.696,0.27,4,-10.68,1,0.0329,0.93,0.0073,0.124,0.481,118.936,audio_features,3bmIl4CGeyNuL5QTHDmH5U,spotify:track:3bmIl4CGeyNuL5QTHDmH5U,https://api.spotify.com/v1/tracks/3bmIl4CGeyNuL5QTHDmH5U,https://api.spotify.com/v1/audio-analysis/3bmIl4CGeyNuL5QTHDmH5U,238173,4
Oni remixed by Yusuke Sato,0.696,0.96,9,-3.174,1,0.0419,0.291,0.0408,0.0787,0.914,116.008,audio_features,6gENtor29t4rNlIH51Lwn8,spotify:track:6gENtor29t4rNlIH51Lwn8,https://api.spotify.com/v1/tracks/6gENtor29t4rNlIH51Lwn8,https://api.spotify.com/v1/audio-analysis/6gENtor29t4rNlIH51Lwn8,187000,4
泣き虫ジュゴン,0.56,0.64,6,-5.519,0,0.0323,0.55,2.55e-06,0.0846,0.338,132.954,audio_features,04S66SayZnpVfxH9c0EkZq,spotify:track:04S66SayZnpVfxH9c0EkZq,https://api.spotify.com/v1/tracks/04S66SayZnpVfxH9c0EkZq,https://api.spotify.com/v1/audio-analysis/04S66SayZnpVfxH9c0EkZq,287307,4
