name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ロストアンブレラ - yuigot Remix,0.669,0.853,9,-5.267,0,0.0664,0.0542,0,0.16,0.679,140.055,audio_features,50ZpGIhhLctLPDGcSrH5DU,spotify:track:50ZpGIhhLctLPDGcSrH5DU,https://api.spotify.com/v1/tracks/50ZpGIhhLctLPDGcSrH5DU,https://api.spotify.com/v1/audio-analysis/50ZpGIhhLctLPDGcSrH5DU,188571,4
音がする,0.546,0.897,9,-5.787,1,0.0526,0.0236,0.000646,0.204,0.545,160.028,audio_features,3UbVp0E9RSIp8HL401YHi0,spotify:track:3UbVp0E9RSIp8HL401YHi0,https://api.spotify.com/v1/tracks/3UbVp0E9RSIp8HL401YHi0,https://api.spotify.com/v1/audio-analysis/3UbVp0E9RSIp8HL401YHi0,245449,4
Everywhere,0.692,0.851,2,-3.608,1,0.113,0.532,0,0.0553,0.67,109.973,audio_features,5xvIn9HsyGAGVlqwhdgHb5,spotify:track:5xvIn9HsyGAGVlqwhdgHb5,https://api.spotify.com/v1/tracks/5xvIn9HsyGAGVlqwhdgHb5,https://api.spotify.com/v1/audio-analysis/5xvIn9HsyGAGVlqwhdgHb5,174545,4
Backwards,0.437,0.981,7,-2.173,1,0.223,0.0265,0,0.347,0.529,146.977,audio_features,2a2H8JeW9w48MCCYJpxCMU,spotify:track:2a2H8JeW9w48MCCYJpxCMU,https://api.spotify.com/v1/tracks/2a2H8JeW9w48MCCYJpxCMU,https://api.spotify.com/v1/audio-analysis/2a2H8JeW9w48MCCYJpxCMU,280040,4
rinaria to terepashi,0.625,0.949,1,-2.962,0,0.0636,0.00447,1.85e-05,0.416,0.479,140.028,audio_features,0hs0ZOawC3IO0mwvjxkfZY,spotify:track:0hs0ZOawC3IO0mwvjxkfZY,https://api.spotify.com/v1/tracks/0hs0ZOawC3IO0mwvjxkfZY,https://api.spotify.com/v1/audio-analysis/0hs0ZOawC3IO0mwvjxkfZY,232468,4
Fairytale,0.641,0.934,6,-1.629,0,0.0486,0.127,1.17e-06,0.596,0.78,131.947,audio_features,1FxElqMDgPxWzvjFQxcmpP,spotify:track:1FxElqMDgPxWzvjFQxcmpP,https://api.spotify.com/v1/tracks/1FxElqMDgPxWzvjFQxcmpP,https://api.spotify.com/v1/audio-analysis/1FxElqMDgPxWzvjFQxcmpP,199995,4
Fantasm,0.607,0.907,1,-8.913,0,0.0635,0.0507,0,0.336,0.846,106.456,audio_features,394H4fXri57pHyNlbxWtZb,spotify:track:394H4fXri57pHyNlbxWtZb,https://api.spotify.com/v1/tracks/394H4fXri57pHyNlbxWtZb,https://api.spotify.com/v1/audio-analysis/394H4fXri57pHyNlbxWtZb,136057,4
Youwerehere,0.352,0.828,9,-6.821,1,0.0857,0.00151,0.019,0.129,0.21,104.465,audio_features,7qB2JnRXjpexq7FDADBgeX,spotify:track:7qB2JnRXjpexq7FDADBgeX,https://api.spotify.com/v1/tracks/7qB2JnRXjpexq7FDADBgeX,https://api.spotify.com/v1/audio-analysis/7qB2JnRXjpexq7FDADBgeX,192318,4
Pirika Pilirara,0.438,0.948,4,-5.142,1,0.0496,0.0395,2.03e-05,0.23,0.55,156.019,audio_features,2B3jMhA0I3R6S9zKaG4CTC,spotify:track:2B3jMhA0I3R6S9zKaG4CTC,https://api.spotify.com/v1/tracks/2B3jMhA0I3R6S9zKaG4CTC,https://api.spotify.com/v1/audio-analysis/2B3jMhA0I3R6S9zKaG4CTC,224615,4
Fairytale,0.641,0.934,6,-1.629,0,0.0486,0.127,1.17e-06,0.596,0.78,131.947,audio_features,4hAQ5I6WwaidjliBdkWN1z,spotify:track:4hAQ5I6WwaidjliBdkWN1z,https://api.spotify.com/v1/tracks/4hAQ5I6WwaidjliBdkWN1z,https://api.spotify.com/v1/audio-analysis/4hAQ5I6WwaidjliBdkWN1z,199995,4
Gif Vacation,0.563,0.837,8,-3.874,1,0.123,0.125,0.0205,0.113,0.685,184.124,audio_features,1Bvyc0i9lEIMPOpzx0eZka,spotify:track:1Bvyc0i9lEIMPOpzx0eZka,https://api.spotify.com/v1/tracks/1Bvyc0i9lEIMPOpzx0eZka,https://api.spotify.com/v1/audio-analysis/1Bvyc0i9lEIMPOpzx0eZka,170250,1
rinarina to terepashi - Instrumental,0.528,0.974,1,-4.428,0,0.0478,7.1e-05,0.0382,0.424,0.57,139.97,audio_features,4fhxgGhgZMCUrcEY18ouID,spotify:track:4fhxgGhgZMCUrcEY18ouID,https://api.spotify.com/v1/tracks/4fhxgGhgZMCUrcEY18ouID,https://api.spotify.com/v1/audio-analysis/4fhxgGhgZMCUrcEY18ouID,234643,4
Bewitched,0.398,0.92,7,-6.603,1,0.0464,0.00233,3.27e-06,0.0726,0.491,165.06,audio_features,2I5447NCzzEljlt3XheDX1,spotify:track:2I5447NCzzEljlt3XheDX1,https://api.spotify.com/v1/tracks/2I5447NCzzEljlt3XheDX1,https://api.spotify.com/v1/audio-analysis/2I5447NCzzEljlt3XheDX1,168351,4
