name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
メロンソーダ,0.423,0.959,0,-2.515,0,0.0845,0.0129,0,0.363,0.583,183.912,audio_features,6xG2P1hsJi4PvBacVFL5oW,spotify:track:6xG2P1hsJi4PvBacVFL5oW,https://api.spotify.com/v1/tracks/6xG2P1hsJi4PvBacVFL5oW,https://api.spotify.com/v1/audio-analysis/6xG2P1hsJi4PvBacVFL5oW,303200,4
Rainbow Rain,0.502,0.97,0,-3.539,1,0.0363,0.268,0.00201,0.156,0.686,133.926,audio_features,1zXcQ4XkDvX9dGZMIvGFRM,spotify:track:1zXcQ4XkDvX9dGZMIvGFRM,https://api.spotify.com/v1/tracks/1zXcQ4XkDvX9dGZMIvGFRM,https://api.spotify.com/v1/audio-analysis/1zXcQ4XkDvX9dGZMIvGFRM,284253,4
ファンタスティックパレード,0.518,0.979,10,-1.109,0,0.139,0.0635,4.73e-06,0.286,0.671,164.989,audio_features,4yXVOKIJbgQCpDe5YAT6FG,spotify:track:4yXVOKIJbgQCpDe5YAT6FG,https://api.spotify.com/v1/tracks/4yXVOKIJbgQCpDe5YAT6FG,https://api.spotify.com/v1/audio-analysis/4yXVOKIJbgQCpDe5YAT6FG,244067,4
大人やらせてよ,0.692,0.94,5,-3.391,0,0.041,0.3,2.14e-05,0.0716,0.895,127.967,audio_features,6n6T8rr5Q8nxRkyttMeY6m,spotify:track:6n6T8rr5Q8nxRkyttMeY6m,https://api.spotify.com/v1/tracks/6n6T8rr5Q8nxRkyttMeY6m,https://api.spotify.com/v1/audio-analysis/6n6T8rr5Q8nxRkyttMeY6m,211587,4
メロンソーダ,0.425,0.951,8,-3.642,1,0.0732,0.00613,0,0.32,0.581,183.986,audio_features,6fxCRbPbce7b0dWrSoUPeS,spotify:track:6fxCRbPbce7b0dWrSoUPeS,https://api.spotify.com/v1/tracks/6fxCRbPbce7b0dWrSoUPeS,https://api.spotify.com/v1/audio-analysis/6fxCRbPbce7b0dWrSoUPeS,301676,4
アイドルレース,0.547,0.94,1,-4.089,1,0.0601,7.87e-05,0.897,0.0655,0.514,89.994,audio_features,3s0jaAf7JNkD3vtb39ub42,spotify:track:3s0jaAf7JNkD3vtb39ub42,https://api.spotify.com/v1/tracks/3s0jaAf7JNkD3vtb39ub42,https://api.spotify.com/v1/audio-analysis/3s0jaAf7JNkD3vtb39ub42,212280,4
おしえてシュレディンガー,0.541,0.983,8,-1.984,1,0.139,0.0357,0.000181,0.117,0.607,139.941,audio_features,0WvAAwsp4zC5dfbtYVCmM7,spotify:track:0WvAAwsp4zC5dfbtYVCmM7,https://api.spotify.com/v1/tracks/0WvAAwsp4zC5dfbtYVCmM7,https://api.spotify.com/v1/audio-analysis/0WvAAwsp4zC5dfbtYVCmM7,265933,4
大人やらせてよ,0.696,0.94,5,-3.402,0,0.0401,0.278,2.15e-05,0.0715,0.903,127.976,audio_features,49EHsKG2ZXfA1QjNDV9lRo,spotify:track:49EHsKG2ZXfA1QjNDV9lRo,https://api.spotify.com/v1/tracks/49EHsKG2ZXfA1QjNDV9lRo,https://api.spotify.com/v1/audio-analysis/49EHsKG2ZXfA1QjNDV9lRo,211587,4
ファンタスティックパレード,0.537,0.979,10,-1.115,0,0.126,0.0668,7.14e-06,0.283,0.702,164.979,audio_features,6za70gSTVowL3qsLyYp5Tg,spotify:track:6za70gSTVowL3qsLyYp5Tg,https://api.spotify.com/v1/tracks/6za70gSTVowL3qsLyYp5Tg,https://api.spotify.com/v1/audio-analysis/6za70gSTVowL3qsLyYp5Tg,244067,4
舞いジェネ!,0.595,0.953,8,-1.146,1,0.0837,0.0222,8.95e-06,0.0865,0.812,140.993,audio_features,5ji30SCOiWaPcCJl1toNGe,spotify:track:5ji30SCOiWaPcCJl1toNGe,https://api.spotify.com/v1/tracks/5ji30SCOiWaPcCJl1toNGe,https://api.spotify.com/v1/audio-analysis/5ji30SCOiWaPcCJl1toNGe,243627,4
恋のエフェクトMAGIC,0.482,0.917,5,-1.975,1,0.103,0.00796,0.00111,0.355,0.636,169.938,audio_features,75G81hnEkmpQHikxpLtER7,spotify:track:75G81hnEkmpQHikxpLtER7,https://api.spotify.com/v1/tracks/75G81hnEkmpQHikxpLtER7,https://api.spotify.com/v1/audio-analysis/75G81hnEkmpQHikxpLtER7,239920,4
Bye Bye My Days,0.413,0.929,1,-2.922,1,0.0649,0.00133,0.0101,0.316,0.398,175.048,audio_features,2FmVOh4OwQNS1RCRAVl17I,spotify:track:2FmVOh4OwQNS1RCRAVl17I,https://api.spotify.com/v1/tracks/2FmVOh4OwQNS1RCRAVl17I,https://api.spotify.com/v1/audio-analysis/2FmVOh4OwQNS1RCRAVl17I,242933,4
