name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Precious Days (album version),0.434,0.93,4,-3.96,1,0.0391,0.00871,2.78e-05,0.156,0.892,169.96,audio_features,544s3dwPqMr6nORB7dG0jo,spotify:track:544s3dwPqMr6nORB7dG0jo,https://api.spotify.com/v1/tracks/544s3dwPqMr6nORB7dG0jo,https://api.spotify.com/v1/audio-analysis/544s3dwPqMr6nORB7dG0jo,179999,4
プラスティック・スタイル (album version),0.642,0.984,4,-4.236,0,0.0375,0.021,2e-06,0.357,0.766,141.979,audio_features,7rbYjKguPIylY1Q2sB4tki,spotify:track:7rbYjKguPIylY1Q2sB4tki,https://api.spotify.com/v1/tracks/7rbYjKguPIylY1Q2sB4tki,https://api.spotify.com/v1/audio-analysis/7rbYjKguPIylY1Q2sB4tki,232500,4
Blue Bird,0.609,0.876,3,-5.505,1,0.0313,0.0111,0.000102,0.197,0.954,128.017,audio_features,1xHr6yfxvuyz2pAsrkbKYI,spotify:track:1xHr6yfxvuyz2pAsrkbKYI,https://api.spotify.com/v1/tracks/1xHr6yfxvuyz2pAsrkbKYI,https://api.spotify.com/v1/audio-analysis/1xHr6yfxvuyz2pAsrkbKYI,203002,4
Naked Diver (album version),0.548,0.955,0,-3.106,1,0.0634,0.194,0.000238,0.336,0.808,82.003,audio_features,6P4kq4wgDIrwWvHET4aIqo,spotify:track:6P4kq4wgDIrwWvHET4aIqo,https://api.spotify.com/v1/tracks/6P4kq4wgDIrwWvHET4aIqo,https://api.spotify.com/v1/audio-analysis/6P4kq4wgDIrwWvHET4aIqo,221000,4
Grapefruit Kiss (album version),0.567,0.944,1,-3.969,1,0.03,0.264,0.00519,0.256,0.788,133.009,audio_features,7el4X9cuSG9sqbq3iR32ra,spotify:track:7el4X9cuSG9sqbq3iR32ra,https://api.spotify.com/v1/tracks/7el4X9cuSG9sqbq3iR32ra,https://api.spotify.com/v1/audio-analysis/7el4X9cuSG9sqbq3iR32ra,283000,4
Fallout,0.562,0.961,2,-3.713,0,0.0342,0.293,1.52e-06,0.215,0.543,120.032,audio_features,0k4sd36H5caldpEZ0HhcVb,spotify:track:0k4sd36H5caldpEZ0HhcVb,https://api.spotify.com/v1/tracks/0k4sd36H5caldpEZ0HhcVb,https://api.spotify.com/v1/audio-analysis/0k4sd36H5caldpEZ0HhcVb,239500,4
Reminiscence,0.643,0.75,3,-5.659,1,0.0289,0.0127,0.000249,0.109,0.828,135.016,audio_features,7iQ7x93Fbje9zKHasWycBq,spotify:track:7iQ7x93Fbje9zKHasWycBq,https://api.spotify.com/v1/tracks/7iQ7x93Fbje9zKHasWycBq,https://api.spotify.com/v1/audio-analysis/7iQ7x93Fbje9zKHasWycBq,287894,4
In Your Hands,0.569,0.879,4,-6.008,1,0.0366,0.0133,1.08e-06,0.449,0.851,159.974,audio_features,3jD04Bg3O7rU8BdgXhk6MZ,spotify:track:3jD04Bg3O7rU8BdgXhk6MZ,https://api.spotify.com/v1/tracks/3jD04Bg3O7rU8BdgXhk6MZ,https://api.spotify.com/v1/audio-analysis/3jD04Bg3O7rU8BdgXhk6MZ,249000,4
Singer,0.57,0.928,6,-6.167,1,0.0293,0.000527,0.101,0.163,0.862,128.008,audio_features,6FjT1MdOXay34r3qUXvDAE,spotify:track:6FjT1MdOXay34r3qUXvDAE,https://api.spotify.com/v1/tracks/6FjT1MdOXay34r3qUXvDAE,https://api.spotify.com/v1/audio-analysis/6FjT1MdOXay34r3qUXvDAE,311906,4
canvas,0.616,0.888,2,-5.496,1,0.041,0.147,8.03e-05,0.368,0.93,130.966,audio_features,1X9UaxP9Ue1LroZ97GCdCI,spotify:track:1X9UaxP9Ue1LroZ97GCdCI,https://api.spotify.com/v1/tracks/1X9UaxP9Ue1LroZ97GCdCI,https://api.spotify.com/v1/audio-analysis/1X9UaxP9Ue1LroZ97GCdCI,296759,4
Kiss Away,0.551,0.901,4,-6.019,1,0.0394,0.0784,0,0.279,0.749,167.994,audio_features,0klsReyEXDEZgILAntYptF,spotify:track:0klsReyEXDEZgILAntYptF,https://api.spotify.com/v1/tracks/0klsReyEXDEZgILAntYptF,https://api.spotify.com/v1/audio-analysis/0klsReyEXDEZgILAntYptF,267237,4
Morning Mist (album mix),0.657,0.82,2,-3.981,1,0.0281,0.239,3.23e-06,0.123,0.599,117.999,audio_features,3SxozNRRMVnqpnfKboIKec,spotify:track:3SxozNRRMVnqpnfKboIKec,https://api.spotify.com/v1/tracks/3SxozNRRMVnqpnfKboIKec,https://api.spotify.com/v1/audio-analysis/3SxozNRRMVnqpnfKboIKec,306500,4
Take Me Out,0.72,0.921,0,-4.502,1,0.0313,0.246,1.46e-06,0.141,0.806,132.037,audio_features,4PyzLnargIlSwSgsZtanuw,spotify:track:4PyzLnargIlSwSgsZtanuw,https://api.spotify.com/v1/tracks/4PyzLnargIlSwSgsZtanuw,https://api.spotify.com/v1/audio-analysis/4PyzLnargIlSwSgsZtanuw,245500,4
Air Castle,0.441,0.794,4,-4.494,1,0.0306,0.0506,0.00205,0.114,0.554,183.943,audio_features,1X4nKjuXlX9ZeCuqjt152o,spotify:track:1X4nKjuXlX9ZeCuqjt152o,https://api.spotify.com/v1/tracks/1X4nKjuXlX9ZeCuqjt152o,https://api.spotify.com/v1/audio-analysis/1X4nKjuXlX9ZeCuqjt152o,337956,4
Saturation,0.524,0.845,1,-6.345,0,0.037,0.346,1.69e-06,0.0911,0.875,161.016,audio_features,2W26Vell3uAGj5nckgkHGK,spotify:track:2W26Vell3uAGj5nckgkHGK,https://api.spotify.com/v1/tracks/2W26Vell3uAGj5nckgkHGK,https://api.spotify.com/v1/audio-analysis/2W26Vell3uAGj5nckgkHGK,256933,4
