name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Daylighting,0.593,0.652,5,-8.772,0,0.0627,0.00105,0.00581,0.0855,0.119,174.996,audio_features,51SiFn1z2y0XRcFhqGceBL,spotify:track:51SiFn1z2y0XRcFhqGceBL,https://api.spotify.com/v1/tracks/51SiFn1z2y0XRcFhqGceBL,https://api.spotify.com/v1/audio-analysis/51SiFn1z2y0XRcFhqGceBL,340000,4
Unknown World - yuzen Midnight remix,0.568,0.883,11,-9.983,0,0.0536,0.0184,0.00705,0.196,0.461,176.009,audio_features,143zNHTtcRrsZr2cmS8n6V,spotify:track:143zNHTtcRrsZr2cmS8n6V,https://api.spotify.com/v1/tracks/143zNHTtcRrsZr2cmS8n6V,https://api.spotify.com/v1/audio-analysis/143zNHTtcRrsZr2cmS8n6V,275000,4
Life Size,0.545,0.444,4,-13.225,1,0.0329,0.32,4.32e-06,0.0917,0.168,100.089,audio_features,4loAn2dYaqfDhzhbVnWpdI,spotify:track:4loAn2dYaqfDhzhbVnWpdI,https://api.spotify.com/v1/tracks/4loAn2dYaqfDhzhbVnWpdI,https://api.spotify.com/v1/audio-analysis/4loAn2dYaqfDhzhbVnWpdI,229000,4
Unknown World,0.645,0.786,7,-3.595,1,0.0464,0.287,4.44e-06,0.0748,0.201,170.025,audio_features,3uXixkRmNiyXAcZUfZMJeE,spotify:track:3uXixkRmNiyXAcZUfZMJeE,https://api.spotify.com/v1/tracks/3uXixkRmNiyXAcZUfZMJeE,https://api.spotify.com/v1/audio-analysis/3uXixkRmNiyXAcZUfZMJeE,236618,3
Stay In Your - no youth remix,0.399,0.988,10,-3.257,0,0.0688,0.000496,0.0729,0.208,0.478,174.025,audio_features,1LNXPYStYTATsDAtn1eKPn,spotify:track:1LNXPYStYTATsDAtn1eKPn,https://api.spotify.com/v1/tracks/1LNXPYStYTATsDAtn1eKPn,https://api.spotify.com/v1/audio-analysis/1LNXPYStYTATsDAtn1eKPn,258430,4
our time,0.612,0.96,0,-4.787,0,0.0687,0.00502,0.0744,0.365,0.17,165.031,audio_features,5cP8KKNkR16astkRDx2iAG,spotify:track:5cP8KKNkR16astkRDx2iAG,https://api.spotify.com/v1/tracks/5cP8KKNkR16astkRDx2iAG,https://api.spotify.com/v1/audio-analysis/5cP8KKNkR16astkRDx2iAG,231880,4
want you back,0.672,0.916,9,-4.254,0,0.0642,0.00311,0.068,0.0362,0.259,125.974,audio_features,0sKfElKZeMLoqO0JDYeHzw,spotify:track:0sKfElKZeMLoqO0JDYeHzw,https://api.spotify.com/v1/tracks/0sKfElKZeMLoqO0JDYeHzw,https://api.spotify.com/v1/audio-analysis/0sKfElKZeMLoqO0JDYeHzw,229213,4
with you,0.589,0.835,3,-6.877,0,0.0351,0.00233,0.885,0.65,0.405,127.988,audio_features,3qpPKoUFXGS1MlFwP5DPwC,spotify:track:3qpPKoUFXGS1MlFwP5DPwC,https://api.spotify.com/v1/tracks/3qpPKoUFXGS1MlFwP5DPwC,https://api.spotify.com/v1/audio-analysis/3qpPKoUFXGS1MlFwP5DPwC,289739,4
Dreaming In The Night,0.549,0.932,8,-5.567,1,0.12,0.0603,1.34e-06,0.0998,0.303,130.953,audio_features,2nQDzhLZpWDvxuagsAuYLS,spotify:track:2nQDzhLZpWDvxuagsAuYLS,https://api.spotify.com/v1/tracks/2nQDzhLZpWDvxuagsAuYLS,https://api.spotify.com/v1/audio-analysis/2nQDzhLZpWDvxuagsAuYLS,291000,4
Life Size - Instrumental,0.538,0.422,4,-14.096,1,0.0364,0.259,0.0434,0.113,0.0368,100.065,audio_features,6YNV5dfD74xiFtbKKmdS82,spotify:track:6YNV5dfD74xiFtbKKmdS82,https://api.spotify.com/v1/tracks/6YNV5dfD74xiFtbKKmdS82,https://api.spotify.com/v1/audio-analysis/6YNV5dfD74xiFtbKKmdS82,229000,4
Activate,0.671,0.995,7,-5.324,1,0.133,0.00118,0.759,0.34,0.172,139.999,audio_features,2hF5hP3yfquuO1bS206Tuw,spotify:track:2hF5hP3yfquuO1bS206Tuw,https://api.spotify.com/v1/tracks/2hF5hP3yfquuO1bS206Tuw,https://api.spotify.com/v1/audio-analysis/2hF5hP3yfquuO1bS206Tuw,281143,4
