name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ねこねこヘヴン,0.55,0.982,9,-2.186,0,0.18,0.0105,0.0177,0.609,0.536,75.032,audio_features,061Mc4XQMCwjE30xHKjeVR,spotify:track:061Mc4XQMCwjE30xHKjeVR,https://api.spotify.com/v1/tracks/061Mc4XQMCwjE30xHKjeVR,https://api.spotify.com/v1/audio-analysis/061Mc4XQMCwjE30xHKjeVR,190720,4
サムライディスコ,0.508,0.983,2,-2.96,1,0.193,0.0349,0.00153,0.285,0.234,134.961,audio_features,2eqUuNP1LqMa19CaK0b6Ek,spotify:track:2eqUuNP1LqMa19CaK0b6Ek,https://api.spotify.com/v1/tracks/2eqUuNP1LqMa19CaK0b6Ek,https://api.spotify.com/v1/audio-analysis/2eqUuNP1LqMa19CaK0b6Ek,200453,4
昇龍拳が出ない,0.528,0.948,11,-7.3,0,0.0573,0.0822,0,0.335,0.756,91.489,audio_features,5YtuuGgf8Gj9vniPYV03nv,spotify:track:5YtuuGgf8Gj9vniPYV03nv,https://api.spotify.com/v1/tracks/5YtuuGgf8Gj9vniPYV03nv,https://api.spotify.com/v1/audio-analysis/5YtuuGgf8Gj9vniPYV03nv,166800,4
94年のジュニアヘビー ~ザ・スコア~,0.553,0.959,9,-5.355,1,0.0826,0.101,0,0.291,0.655,136.059,audio_features,1zV5TMvSc6olr4gVPnEJGP,spotify:track:1zV5TMvSc6olr4gVPnEJGP,https://api.spotify.com/v1/tracks/1zV5TMvSc6olr4gVPnEJGP,https://api.spotify.com/v1/audio-analysis/1zV5TMvSc6olr4gVPnEJGP,117227,4
なんでやねん - Live 2020.1.16,0.495,0.946,11,-3.857,0,0.11,0.0218,0,0.754,0.666,170.015,audio_features,6NnY3yYuUX2CMPZ0gwwx5T,spotify:track:6NnY3yYuUX2CMPZ0gwwx5T,https://api.spotify.com/v1/tracks/6NnY3yYuUX2CMPZ0gwwx5T,https://api.spotify.com/v1/audio-analysis/6NnY3yYuUX2CMPZ0gwwx5T,143293,4
シューティングスターレディオ,0.525,0.888,9,-3.601,0,0.0442,0.000331,0.000139,0.154,0.267,169.927,audio_features,4V6aDzIVes80ryhSxMRx2R,spotify:track:4V6aDzIVes80ryhSxMRx2R,https://api.spotify.com/v1/tracks/4V6aDzIVes80ryhSxMRx2R,https://api.spotify.com/v1/audio-analysis/4V6aDzIVes80ryhSxMRx2R,180213,4
シェイキン月給日 - Live 2020.1.16,0.675,0.874,0,-5.032,1,0.0573,0.0442,0,0.83,0.594,135.962,audio_features,0vcG2iPgeWqCpVEc5gndYf,spotify:track:0vcG2iPgeWqCpVEc5gndYf,https://api.spotify.com/v1/tracks/0vcG2iPgeWqCpVEc5gndYf,https://api.spotify.com/v1/audio-analysis/0vcG2iPgeWqCpVEc5gndYf,186947,4
サイボーグメカニンジャ - Live 2020.1.16,0.469,0.94,9,-4.16,1,0.157,0.00473,7.34e-05,0.746,0.156,131.833,audio_features,2WrcvD0zEZAEhCqjH9eSfk,spotify:track:2WrcvD0zEZAEhCqjH9eSfk,https://api.spotify.com/v1/tracks/2WrcvD0zEZAEhCqjH9eSfk,https://api.spotify.com/v1/audio-analysis/2WrcvD0zEZAEhCqjH9eSfk,286200,4
プータロー - Live 2020.1.16,0.56,0.946,11,-3.177,0,0.0515,0.0226,0,0.973,0.246,92.54,audio_features,0eQ6OxvkEVx5P5AOHrtlk4,spotify:track:0eQ6OxvkEVx5P5AOHrtlk4,https://api.spotify.com/v1/tracks/0eQ6OxvkEVx5P5AOHrtlk4,https://api.spotify.com/v1/audio-analysis/0eQ6OxvkEVx5P5AOHrtlk4,193733,4
デンジャーゾーン,0.505,0.89,1,-4.238,0,0.0378,0.000196,0.00054,0.223,0.742,162.968,audio_features,5wbl9AaY0upfmhdoY0Tm8G,spotify:track:5wbl9AaY0upfmhdoY0Tm8G,https://api.spotify.com/v1/tracks/5wbl9AaY0upfmhdoY0Tm8G,https://api.spotify.com/v1/audio-analysis/5wbl9AaY0upfmhdoY0Tm8G,156747,4
半額タイムセール,0.458,0.98,9,-3.131,0,0.0705,0.00822,8.04e-05,0.32,0.542,177.957,audio_features,39yAh4SlEx9pJ7FjmaH07t,spotify:track:39yAh4SlEx9pJ7FjmaH07t,https://api.spotify.com/v1/tracks/39yAh4SlEx9pJ7FjmaH07t,https://api.spotify.com/v1/audio-analysis/39yAh4SlEx9pJ7FjmaH07t,207800,4
ホッピーでハッピー - Live 2020.1.16,0.479,0.908,2,-3.483,1,0.089,0.0841,0,0.342,0.5,177.837,audio_features,4K52L5YwKpj5TYjzldTvK2,spotify:track:4K52L5YwKpj5TYjzldTvK2,https://api.spotify.com/v1/tracks/4K52L5YwKpj5TYjzldTvK2,https://api.spotify.com/v1/audio-analysis/4K52L5YwKpj5TYjzldTvK2,237053,4
80年代アクションスター - Live 2020.1.16,0.469,0.958,11,-3.626,0,0.0779,0.0252,0,0.916,0.471,177.734,audio_features,2dXF1WPDUDUTxmEuW6tuZJ,spotify:track:2dXF1WPDUDUTxmEuW6tuZJ,https://api.spotify.com/v1/tracks/2dXF1WPDUDUTxmEuW6tuZJ,https://api.spotify.com/v1/audio-analysis/2dXF1WPDUDUTxmEuW6tuZJ,224733,4
さよならロックスター,0.555,0.928,0,-2.745,1,0.0478,0.00181,0.000147,0.085,0.421,139.99,audio_features,4UI7AJoNrKmYDacp9mLxRH,spotify:track:4UI7AJoNrKmYDacp9mLxRH,https://api.spotify.com/v1/tracks/4UI7AJoNrKmYDacp9mLxRH,https://api.spotify.com/v1/audio-analysis/4UI7AJoNrKmYDacp9mLxRH,221080,4
Super Cub is No.1 - Live 2020.1.16,0.527,0.954,9,-3.348,1,0.0908,0.0579,0,0.894,0.55,172.997,audio_features,3xs4V9XIxmbrmXtDi3Swbg,spotify:track:3xs4V9XIxmbrmXtDi3Swbg,https://api.spotify.com/v1/tracks/3xs4V9XIxmbrmXtDi3Swbg,https://api.spotify.com/v1/audio-analysis/3xs4V9XIxmbrmXtDi3Swbg,166853,4
毎日たのしい1週間,0.526,0.976,9,-4.685,1,0.0904,0.0356,0.000354,0.293,0.604,150.089,audio_features,79KsKD3lGaDFZEo9SBvQH5,spotify:track:79KsKD3lGaDFZEo9SBvQH5,https://api.spotify.com/v1/tracks/79KsKD3lGaDFZEo9SBvQH5,https://api.spotify.com/v1/audio-analysis/79KsKD3lGaDFZEo9SBvQH5,150360,4
毎日たのしい1週間,0.524,0.986,9,-2.903,1,0.127,0.0484,7.48e-05,0.292,0.554,150.077,audio_features,0PG5vbXltk54zezBF9LoYA,spotify:track:0PG5vbXltk54zezBF9LoYA,https://api.spotify.com/v1/tracks/0PG5vbXltk54zezBF9LoYA,https://api.spotify.com/v1/audio-analysis/0PG5vbXltk54zezBF9LoYA,148507,4
快走!ラスプーチン,0.444,0.978,5,-2.759,1,0.065,0.00341,0.000167,0.317,0.616,184.982,audio_features,2u49REruxMerORVzyeNbns,spotify:track:2u49REruxMerORVzyeNbns,https://api.spotify.com/v1/tracks/2u49REruxMerORVzyeNbns,https://api.spotify.com/v1/audio-analysis/2u49REruxMerORVzyeNbns,204947,4
合体!ポンズロボ,0.478,0.959,4,-4.466,0,0.0588,0.00437,0,0.133,0.498,173.059,audio_features,4Ecg9H20dWU6qAn6Z2xkjN,spotify:track:4Ecg9H20dWU6qAn6Z2xkjN,https://api.spotify.com/v1/tracks/4Ecg9H20dWU6qAn6Z2xkjN,https://api.spotify.com/v1/audio-analysis/4Ecg9H20dWU6qAn6Z2xkjN,147187,4
